cip,major,category,traditional,new_1,why_1,new_2,why_2,new_3,why_3,traditional_wage,new_wage_low,new_wage_high
51.3306,Holistic/Integrative Health,Health Professions,Wellness center practitioner,Employer wellbeing program manager,"Typical first-two-years range $62,000 to $95,000. Not the Wellness center practitioner seat.",Digital wellbeing coaching lead,"Typical first-two-years range $62,000 to $95,000. Not the Wellness center practitioner seat.",Integrative care navigator,"Typical first-two-years range $62,000 to $95,000. Not the Wellness center practitioner seat.",50000,62000,95000
51.3399,"Alternative and Complementary Medicine and Medical Systems, Other",Health Professions,Integrative clinic assistant,Wellness platform operations lead,"Typical first-two-years range $58,000 to $88,000. Not the Integrative clinic assistant seat.",Practitioner network manager,"Typical first-two-years range $58,000 to $88,000. Not the Integrative clinic assistant seat.",Clinical quality reviewer,"Typical first-two-years range $58,000 to $88,000. Not the Integrative clinic assistant seat.",45000,58000,88000
51.3401,Direct Entry Midwifery,Health Professions,Home birth midwife,Birth center clinical lead,"Typical first-two-years range $70,000 to $110,000. Not the Home birth midwife seat.",Maternal telehealth clinician,"Typical first-two-years range $70,000 to $110,000. Not the Home birth midwife seat.",Midwife network operations lead,"Typical first-two-years range $70,000 to $110,000. Not the Home birth midwife seat.",62000,70000,110000
51.3499,"Alternative and Complementary Medical Support Services, Other",Health Professions,Clinic support practitioner,Care navigation specialist,"Typical first-two-years range $55,000 to $82,000. Not the Clinic support practitioner seat.",Practitioner credentialing coordinator,"Typical first-two-years range $55,000 to $82,000. Not the Clinic support practitioner seat.",Community birth program coordinator,"Typical first-two-years range $55,000 to $82,000. Not the Clinic support practitioner seat.",42000,55000,82000
51.3501,Massage Therapy/Therapeutic Massage,Health Professions,Spa or clinic massage therapist,Clinical MSK therapist in a PT practice,"Typical first-two-years range $60,000 to $95,000. Not the Spa or clinic massage therapist seat.",Sports recovery therapist,"Typical first-two-years range $60,000 to $95,000. Not the Spa or clinic massage therapist seat.",Covered pain program provider,"Typical first-two-years range $60,000 to $95,000. Not the Spa or clinic massage therapist seat.",55000,60000,95000
51.3502,Asian Bodywork Therapy,Health Professions,Bodywork private practice,Integrative pain clinic practitioner,"Typical first-two-years range $58,000 to $88,000. Not the Bodywork private practice seat.",Onsite corporate wellbeing therapist,"Typical first-two-years range $58,000 to $88,000. Not the Bodywork private practice seat.",Recovery studio program lead,"Typical first-two-years range $58,000 to $88,000. Not the Bodywork private practice seat.",50000,58000,88000
51.3503,Somatic Bodywork,Health Professions,Somatic private practice,Trauma-informed somatic clinician,"Typical first-two-years range $60,000 to $95,000. Not the Somatic private practice seat.",Somatic content lead for mental health apps,"Typical first-two-years range $60,000 to $95,000. Not the Somatic private practice seat.",Recovery program designer,"Typical first-two-years range $60,000 to $95,000. Not the Somatic private practice seat.",52000,60000,95000
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other",Health Professions,Bodywork practitioner,Recovery studio manager,"Typical first-two-years range $55,000 to $85,000. Not the Bodywork practitioner seat.",Wellbeing benefit vendor lead,"Typical first-two-years range $55,000 to $85,000. Not the Bodywork practitioner seat.",Practitioner training designer,"Typical first-two-years range $55,000 to $85,000. Not the Bodywork practitioner seat.",48000,55000,85000
51.3601,Movement Therapy and Movement Education,Health Professions,Studio movement educator,Clinical movement specialist in MSK care,"Typical first-two-years range $58,000 to $92,000. Not the Studio movement educator seat.",Workplace ergonomics coach,"Typical first-two-years range $58,000 to $92,000. Not the Studio movement educator seat.",Movement program designer for digital health,"Typical first-two-years range $58,000 to $92,000. Not the Studio movement educator seat.",48000,58000,92000
51.3602,Yoga Teacher Training/Yoga Therapy,Health Professions,Studio yoga instructor,Clinical yoga therapist in pain or oncology care,"Typical first-two-years range $55,000 to $90,000. Not the Studio yoga instructor seat.",Corporate wellbeing program lead,"Typical first-two-years range $55,000 to $90,000. Not the Studio yoga instructor seat.",Fitness platform program designer,"Typical first-two-years range $55,000 to $90,000. Not the Studio yoga instructor seat.",45000,55000,90000
51.3603,Hypnotherapy/Hypnotherapist,Health Professions,Private hypnotherapy practice,Behavioral health adjunct clinician,"Typical first-two-years range $58,000 to $90,000. Not the Private hypnotherapy practice seat.",Habit change program lead,"Typical first-two-years range $58,000 to $90,000. Not the Private hypnotherapy practice seat.",Clinical content designer for behavior apps,"Typical first-two-years range $58,000 to $90,000. Not the Private hypnotherapy practice seat.",50000,58000,90000
51.3701,Aromatherapy,Health Professions,Retail or spa aromatherapist,Product formulation and claims specialist,"Typical first-two-years range $52,000 to $85,000. Not the Retail or spa aromatherapist seat.",Hospice comfort care program lead,"Typical first-two-years range $52,000 to $85,000. Not the Retail or spa aromatherapist seat.",Fragrance ingredient regulatory analyst,"Typical first-two-years range $52,000 to $85,000. Not the Retail or spa aromatherapist seat.",40000,52000,85000
51.3702,Herbalism/Herbalist,Health Professions,Herbal shop practitioner,Botanical sourcing and quality analyst,"Typical first-two-years range $55,000 to $90,000. Not the Herbal shop practitioner seat.",Supplement product development associate,"Typical first-two-years range $55,000 to $90,000. Not the Herbal shop practitioner seat.",Label compliance specialist,"Typical first-two-years range $55,000 to $90,000. Not the Herbal shop practitioner seat.",42000,55000,90000
51.3703,Polarity Therapy,Health Professions,Private polarity practice,Integrative care program coordinator,"Typical first-two-years range $52,000 to $82,000. Not the Private polarity practice seat.",Practitioner network lead,"Typical first-two-years range $52,000 to $82,000. Not the Private polarity practice seat.",Practitioner education designer,"Typical first-two-years range $52,000 to $82,000. Not the Private polarity practice seat.",45000,52000,82000
51.3704,Reiki,Health Professions,Independent reiki practitioner,Hospital integrative volunteer program manager,"Typical first-two-years range $48,000 to $78,000. Not the Independent reiki practitioner seat.",Hospice comfort care coordinator,"Typical first-two-years range $48,000 to $78,000. Not the Independent reiki practitioner seat.",Wellbeing vendor account lead,"Typical first-two-years range $48,000 to $78,000. Not the Independent reiki practitioner seat.",38000,48000,78000
51.3799,"Energy and Biologically Based Therapies, Other",Health Professions,Independent practitioner,Integrative program coordinator,"Typical first-two-years range $50,000 to $80,000. Not the Independent practitioner seat.",Practitioner operations associate,"Typical first-two-years range $50,000 to $80,000. Not the Independent practitioner seat.",Community wellbeing program lead,"Typical first-two-years range $50,000 to $80,000. Not the Independent practitioner seat.",40000,50000,80000
51.3801,Registered Nursing/Registered Nurse,Health Professions,Hospital staff nurse,Clinical informatics nurse,"Typical first-two-years range $85,000 to $125,000. Not the Hospital staff nurse seat.",Remote utilization review nurse,"Typical first-two-years range $85,000 to $125,000. Not the Hospital staff nurse seat.",Clinical trial research nurse,"Typical first-two-years range $85,000 to $125,000. Not the Hospital staff nurse seat.",94000,85000,125000
51.3802,Nursing Administration,Health Professions,Hospital nurse manager,Workforce and staffing analytics lead,"Typical first-two-years range $115,000 to $160,000. Not the Hospital nurse manager seat.",Virtual care operations director,"Typical first-two-years range $115,000 to $160,000. Not the Hospital nurse manager seat.",Clinical AI deployment lead,"Typical first-two-years range $115,000 to $160,000. Not the Hospital nurse manager seat.",110000,115000,160000
51.3803,Adult Health Nurse/Nursing,Health Professions,Medical-surgical staff nurse,Chronic care virtual nurse,"Typical first-two-years range $88,000 to $125,000. Not the Medical-surgical staff nurse seat.",Payer care management nurse,"Typical first-two-years range $88,000 to $125,000. Not the Medical-surgical staff nurse seat.",Ambulatory complex care lead,"Typical first-two-years range $88,000 to $125,000. Not the Medical-surgical staff nurse seat.",92000,88000,125000
51.3804,Nurse Anesthetist,Health Professions,Hospital nurse anesthetist,Ambulatory surgery center CRNA,"Typical first-two-years range $200,000 to $260,000. Not the Hospital nurse anesthetist seat.",Locum and travel CRNA,"Typical first-two-years range $200,000 to $260,000. Not the Hospital nurse anesthetist seat.",Anesthesia group operations lead,"Typical first-two-years range $200,000 to $260,000. Not the Hospital nurse anesthetist seat.",214000,200000,260000
51.3805,Family Practice Nurse/Nursing,Health Professions,Primary care nurse practitioner,Telehealth primary care NP,"Typical first-two-years range $125,000 to $165,000. Not the Primary care nurse practitioner seat.",Employer and retail clinic NP,"Typical first-two-years range $125,000 to $165,000. Not the Primary care nurse practitioner seat.",Value-based care panel lead,"Typical first-two-years range $125,000 to $165,000. Not the Primary care nurse practitioner seat.",129000,125000,165000
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing,Health Professions,Hospital NICU nurse,Maternal virtual care nurse,"Typical first-two-years range $95,000 to $135,000. Not the Hospital NICU nurse seat.",Lactation and postpartum program lead,"Typical first-two-years range $95,000 to $135,000. Not the Hospital NICU nurse seat.",Perinatal quality analyst,"Typical first-two-years range $95,000 to $135,000. Not the Hospital NICU nurse seat.",100000,95000,135000
51.3807,Nurse Midwife/Nursing Midwifery,Health Professions,Hospital nurse midwife,Birth center clinical director,"Typical first-two-years range $130,000 to $170,000. Not the Hospital nurse midwife seat.",Virtual maternity care midwife,"Typical first-two-years range $130,000 to $170,000. Not the Hospital nurse midwife seat.",Maternal health startup clinical lead,"Typical first-two-years range $130,000 to $170,000. Not the Hospital nurse midwife seat.",132000,130000,170000
51.3808,Nursing Science,Health Professions,Academic nurse researcher,Clinical outcomes data scientist,"Typical first-two-years range $100,000 to $145,000. Not the Academic nurse researcher seat.",Research operations lead,"Typical first-two-years range $100,000 to $145,000. Not the Academic nurse researcher seat.",Evidence lead at a digital health company,"Typical first-two-years range $100,000 to $145,000. Not the Academic nurse researcher seat.",92000,100000,145000
51.3809,Pediatric Nurse/Nursing,Health Professions,Children's hospital nurse,Pediatric virtual care nurse,"Typical first-two-years range $88,000 to $125,000. Not the Children's hospital nurse seat.",School health program lead,"Typical first-two-years range $88,000 to $125,000. Not the Children's hospital nurse seat.",Pediatric device clinical specialist,"Typical first-two-years range $88,000 to $125,000. Not the Children's hospital nurse seat.",92000,88000,125000
51.3810,Psychiatric/Mental Health Nurse/Nursing,Health Professions,Inpatient psychiatric nurse,Telepsychiatry nurse practitioner,"Typical first-two-years range $120,000 to $175,000. Not the Inpatient psychiatric nurse seat.",Employer behavioral health clinical lead,"Typical first-two-years range $120,000 to $175,000. Not the Inpatient psychiatric nurse seat.",Crisis response program clinician,"Typical first-two-years range $120,000 to $175,000. Not the Inpatient psychiatric nurse seat.",100000,120000,175000
51.3811,Public Health/Community Nurse/Nursing,Health Professions,Public health department nurse,Community value-based care nurse,"Typical first-two-years range $82,000 to $120,000. Not the Public health department nurse seat.",Population health program manager,"Typical first-two-years range $82,000 to $120,000. Not the Public health department nurse seat.",Home-based care clinical lead,"Typical first-two-years range $82,000 to $120,000. Not the Public health department nurse seat.",80000,82000,120000
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing,Health Professions,Operating room circulating nurse,Ambulatory surgery center clinical lead,"Typical first-two-years range $98,000 to $140,000. Not the Operating room circulating nurse seat.",Surgical device clinical specialist,"Typical first-two-years range $98,000 to $140,000. Not the Operating room circulating nurse seat.",Operating room throughput analyst,"Typical first-two-years range $98,000 to $140,000. Not the Operating room circulating nurse seat.",100000,98000,140000
51.3813,Clinical Nurse Specialist,Health Professions,Hospital clinical nurse specialist,Payer clinical program design lead,"Typical first-two-years range $118,000 to $160,000. Not the Hospital clinical nurse specialist seat.",Quality and safety AI reviewer,"Typical first-two-years range $118,000 to $160,000. Not the Hospital clinical nurse specialist seat.",Virtual specialty program lead,"Typical first-two-years range $118,000 to $160,000. Not the Hospital clinical nurse specialist seat.",118000,118000,160000
51.3814,Critical Care Nursing,Health Professions,Intensive care staff nurse,Tele-ICU nurse,"Typical first-two-years range $98,000 to $140,000. Not the Intensive care staff nurse seat.",Transport and rapid response lead,"Typical first-two-years range $98,000 to $140,000. Not the Intensive care staff nurse seat.",Critical care device clinical specialist,"Typical first-two-years range $98,000 to $140,000. Not the Intensive care staff nurse seat.",100000,98000,140000
51.3815,Occupational and Environmental Health Nursing,Health Professions,Corporate occupational health nurse,Workforce health analytics lead,"Typical first-two-years range $95,000 to $135,000. Not the Corporate occupational health nurse seat.",Warehouse and robotics safety clinical lead,"Typical first-two-years range $95,000 to $135,000. Not the Corporate occupational health nurse seat.",Employer clinic program manager,"Typical first-two-years range $95,000 to $135,000. Not the Corporate occupational health nurse seat.",92000,95000,135000
51.3816,Emergency Room/Trauma Nursing,Health Professions,Emergency department staff nurse,Virtual triage and nurse line clinician,"Typical first-two-years range $95,000 to $135,000. Not the Emergency department staff nurse seat.",Mobile integrated health lead,"Typical first-two-years range $95,000 to $135,000. Not the Emergency department staff nurse seat.",Emergency flow operations analyst,"Typical first-two-years range $95,000 to $135,000. Not the Emergency department staff nurse seat.",98000,95000,135000
51.3818,Nursing Practice,Health Professions,Advanced practice clinician,Virtual specialty care advanced practitioner,"Typical first-two-years range $130,000 to $175,000. Not the Advanced practice clinician seat.",Clinical product lead at a health startup,"Typical first-two-years range $130,000 to $175,000. Not the Advanced practice clinician seat.",Medical group value-based care lead,"Typical first-two-years range $130,000 to $175,000. Not the Advanced practice clinician seat.",125000,130000,175000
51.3819,Palliative Care Nursing,Health Professions,Hospice nurse,Home-based palliative care lead,"Typical first-two-years range $90,000 to $125,000. Not the Hospice nurse seat.",Serious illness virtual clinician,"Typical first-two-years range $90,000 to $125,000. Not the Hospice nurse seat.",Palliative quality analyst,"Typical first-two-years range $90,000 to $125,000. Not the Hospice nurse seat.",88000,90000,125000
51.3820,Clinical Nurse Leader,Health Professions,Unit clinical nurse leader,Care model design lead,"Typical first-two-years range $105,000 to $150,000. Not the Unit clinical nurse leader seat.",Clinical AI adoption lead,"Typical first-two-years range $105,000 to $150,000. Not the Unit clinical nurse leader seat.",Quality program director,"Typical first-two-years range $105,000 to $150,000. Not the Unit clinical nurse leader seat.",105000,105000,150000
51.3821,Geriatric Nurse/Nursing,Health Professions,Long-term care nurse,In-home Medicare Advantage assessment clinician,"Typical first-two-years range $88,000 to $125,000. Not the Long-term care nurse seat.",Dementia care program lead,"Typical first-two-years range $88,000 to $125,000. Not the Long-term care nurse seat.",Senior housing clinical operations lead,"Typical first-two-years range $88,000 to $125,000. Not the Long-term care nurse seat.",85000,88000,125000
51.3822,Women's Health Nurse/Nursing,Health Professions,Clinic women's health nurse practitioner,Virtual women's health clinician,"Typical first-two-years range $120,000 to $160,000. Not the Clinic women's health nurse practitioner seat.",Menopause and fertility program lead,"Typical first-two-years range $120,000 to $160,000. Not the Clinic women's health nurse practitioner seat.",Femtech clinical product lead,"Typical first-two-years range $120,000 to $160,000. Not the Clinic women's health nurse practitioner seat.",118000,120000,160000
51.3824,Forensic Nursing,Health Professions,Hospital forensic examiner nurse,Legal nurse consultant,"Typical first-two-years range $95,000 to $140,000. Not the Hospital forensic examiner nurse seat.",Medicolegal investigation lead,"Typical first-two-years range $95,000 to $140,000. Not the Hospital forensic examiner nurse seat.",Trauma-informed systems program designer,"Typical first-two-years range $95,000 to $140,000. Not the Hospital forensic examiner nurse seat.",92000,95000,140000
51.3899,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other",Health Professions,Staff nurse,Nurse informaticist,"Typical first-two-years range $88,000 to $130,000. Not the Staff nurse seat.",Payer care management nurse,"Typical first-two-years range $88,000 to $130,000. Not the Staff nurse seat.",Clinical operations analyst,"Typical first-two-years range $88,000 to $130,000. Not the Staff nurse seat.",92000,88000,130000
51.3901,Licensed Practical/Vocational Nurse Training,Health Professions,Long-term care practical nurse,Remote care coordination nurse,"Typical first-two-years range $62,000 to $85,000. Not the Long-term care practical nurse seat.",Home infusion nurse,"Typical first-two-years range $62,000 to $85,000. Not the Long-term care practical nurse seat.",Clinical triage support specialist,"Typical first-two-years range $62,000 to $85,000. Not the Long-term care practical nurse seat.",62000,62000,85000
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide,Health Professions,Hospital or nursing home aide,Remote patient monitoring aide,"Typical first-two-years range $48,000 to $70,000. Not the Hospital or nursing home aide seat.",In-home assessment assistant,"Typical first-two-years range $48,000 to $70,000. Not the Hospital or nursing home aide seat.",Care navigation associate,"Typical first-two-years range $48,000 to $70,000. Not the Hospital or nursing home aide seat.",42000,48000,70000
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Health Professions,Clinic nursing support,Clinical operations associate,"Typical first-two-years range $52,000 to $78,000. Not the Clinic nursing support seat.",Patient access and triage coordinator,"Typical first-two-years range $52,000 to $78,000. Not the Clinic nursing support seat.",Home care team lead,"Typical first-two-years range $52,000 to $78,000. Not the Clinic nursing support seat.",45000,52000,78000
52.0101,"Business/Commerce, General",Business,Management trainee,Revenue operations analyst,"Typical first-two-years range $75,000 to $110,000. Not the Management trainee seat.",Business systems analyst,"Typical first-two-years range $75,000 to $110,000. Not the Management trainee seat.",Marketplace operations associate,"Typical first-two-years range $75,000 to $110,000. Not the Management trainee seat.",60000,75000,110000
52.0201,"Business Administration and Management, General",Business,Management trainee,GTM systems administrator,"Typical first-two-years range $78,000 to $140,000. Not the Management trainee seat.",Forward deployed operations associate,"Typical first-two-years range $78,000 to $140,000. Not the Management trainee seat.",Supply chain planning analyst,"Typical first-two-years range $78,000 to $140,000. Not the Management trainee seat.",62000,78000,140000
52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management",Business,Buyer or purchasing agent,Source-to-pay automation analyst,"Typical first-two-years range $85,000 to $125,000. Not the Buyer or purchasing agent seat.",SaaS and AI vendor spend manager,"Typical first-two-years range $85,000 to $125,000. Not the Buyer or purchasing agent seat.",Contract lifecycle management analyst,"Typical first-two-years range $85,000 to $125,000. Not the Buyer or purchasing agent seat.",68000,85000,125000
52.0203,"Logistics, Materials, and Supply Chain Management",Business,Logistics coordinator,Supply network data analyst,"Typical first-two-years range $80,000 to $120,000. Not the Logistics coordinator seat.",Warehouse automation program lead,"Typical first-two-years range $80,000 to $120,000. Not the Logistics coordinator seat.",Trade and tariff compliance analyst,"Typical first-two-years range $80,000 to $120,000. Not the Logistics coordinator seat.",58000,80000,120000
52.0204,Office Management and Supervision,Business,Office manager,Workplace experience operations lead,"Typical first-two-years range $75,000 to $115,000. Not the Office manager seat.",Business operations analyst,"Typical first-two-years range $75,000 to $115,000. Not the Office manager seat.",Executive operations associate,"Typical first-two-years range $75,000 to $115,000. Not the Office manager seat.",62000,75000,115000
52.0205,Operations Management and Supervision,Business,Operations supervisor,Process automation analyst,"Typical first-two-years range $82,000 to $125,000. Not the Operations supervisor seat.",AI deployment operations lead,"Typical first-two-years range $82,000 to $125,000. Not the Operations supervisor seat.",Capacity and throughput analyst,"Typical first-two-years range $82,000 to $125,000. Not the Operations supervisor seat.",68000,82000,125000
52.0206,Non-Profit/Public/Organizational Management,Business,Nonprofit program manager,Impact measurement analyst,"Typical first-two-years range $72,000 to $110,000. Not the Nonprofit program manager seat.",Grants automation and compliance lead,"Typical first-two-years range $72,000 to $110,000. Not the Nonprofit program manager seat.",Public sector delivery consultant,"Typical first-two-years range $72,000 to $110,000. Not the Nonprofit program manager seat.",62000,72000,110000
52.0207,Customer Service Management,Business,Call center supervisor,Support AI deployment and QA lead,"Typical first-two-years range $78,000 to $115,000. Not the Call center supervisor seat.",Customer experience data analyst,"Typical first-two-years range $78,000 to $115,000. Not the Call center supervisor seat.",Knowledge operations manager,"Typical first-two-years range $78,000 to $115,000. Not the Call center supervisor seat.",60000,78000,115000
52.0208,E-Commerce/Electronic Commerce,Business,Online store merchandiser,Retail media and marketplace ads analyst,"Typical first-two-years range $78,000 to $120,000. Not the Online store merchandiser seat.",Lifecycle and conversion growth analyst,"Typical first-two-years range $78,000 to $120,000. Not the Online store merchandiser seat.",Commerce platform migration specialist,"Typical first-two-years range $78,000 to $120,000. Not the Online store merchandiser seat.",58000,78000,120000
52.0209,Transportation/Mobility Management,Business,Fleet or transit operations coordinator,Autonomous fleet operations analyst,"Typical first-two-years range $80,000 to $120,000. Not the Fleet or transit operations coordinator seat.",EV charging network operations lead,"Typical first-two-years range $80,000 to $120,000. Not the Fleet or transit operations coordinator seat.",Mobility demand analyst,"Typical first-two-years range $80,000 to $120,000. Not the Fleet or transit operations coordinator seat.",62000,80000,120000
52.0210,Research and Development Management,Business,Research program coordinator,Technical program manager,"Typical first-two-years range $95,000 to $140,000. Not the Research program coordinator seat.",Research operations and lab automation lead,"Typical first-two-years range $95,000 to $140,000. Not the Research program coordinator seat.",Innovation portfolio analyst,"Typical first-two-years range $95,000 to $140,000. Not the Research program coordinator seat.",72000,95000,140000
52.0211,Project Management,Business,Project management office coordinator,Technical program manager for AI rollouts,"Typical first-two-years range $90,000 to $140,000. Not the Project management office coordinator seat.",Delivery lead at an implementation partner,"Typical first-two-years range $90,000 to $140,000. Not the Project management office coordinator seat.",Portfolio analytics lead,"Typical first-two-years range $90,000 to $140,000. Not the Project management office coordinator seat.",68000,90000,140000
52.0212,Retail Management,Business,Store manager,Retail media account manager,"Typical first-two-years range $72,000 to $110,000. Not the Store manager seat.",Store operations data analyst,"Typical first-two-years range $72,000 to $110,000. Not the Store manager seat.",Omnichannel fulfillment program lead,"Typical first-two-years range $72,000 to $110,000. Not the Store manager seat.",58000,72000,110000
52.0213,Organizational Leadership,Business,Team lead or HR generalist,Change enablement lead for AI adoption,"Typical first-two-years range $80,000 to $120,000. Not the Team lead or HR generalist seat.",People analytics analyst,"Typical first-two-years range $80,000 to $120,000. Not the Team lead or HR generalist seat.",Internal enablement manager,"Typical first-two-years range $80,000 to $120,000. Not the Team lead or HR generalist seat.",62000,80000,120000
52.0214,Research Administration,Business,University grants administrator,Research security and compliance analyst,"Typical first-two-years range $82,000 to $120,000. Not the University grants administrator seat.",Clinical trial budget lead,"Typical first-two-years range $82,000 to $120,000. Not the University grants administrator seat.",Research data governance manager,"Typical first-two-years range $82,000 to $120,000. Not the University grants administrator seat.",68000,82000,120000
52.0215,Risk Management,Business,Corporate risk analyst,AI and model risk analyst,"Typical first-two-years range $95,000 to $140,000. Not the Corporate risk analyst seat.",Third-party risk lead,"Typical first-two-years range $95,000 to $140,000. Not the Corporate risk analyst seat.",Operational resilience analyst,"Typical first-two-years range $95,000 to $140,000. Not the Corporate risk analyst seat.",78000,95000,140000
52.0216,Science/Technology Management,Business,Technical operations coordinator,Hardware program manager,"Typical first-two-years range $95,000 to $145,000. Not the Technical operations coordinator seat.",Technical partnerships manager,"Typical first-two-years range $95,000 to $145,000. Not the Technical operations coordinator seat.",Deep tech commercialization analyst,"Typical first-two-years range $95,000 to $145,000. Not the Technical operations coordinator seat.",72000,95000,145000
52.0301,Accounting,Business,Audit associate,Revenue operations analyst,"Typical first-two-years range $80,000 to $120,000. Not the Audit associate seat.",Controls automation analyst,"Typical first-two-years range $80,000 to $120,000. Not the Audit associate seat.",Digital asset accounting analyst,"Typical first-two-years range $80,000 to $120,000. Not the Audit associate seat.",68000,80000,120000
52.0302,Accounting Technology/Technician and Bookkeeping,Business,Bookkeeper,Accounting automation specialist,"Typical first-two-years range $62,000 to $95,000. Not the Bookkeeper seat.",Outsourced controller associate,"Typical first-two-years range $62,000 to $95,000. Not the Bookkeeper seat.",Payments reconciliation analyst,"Typical first-two-years range $62,000 to $95,000. Not the Bookkeeper seat.",48000,62000,95000
52.0303,Auditing,Business,External audit associate,IT and AI controls auditor,"Typical first-two-years range $85,000 to $125,000. Not the External audit associate seat.",ESG assurance associate,"Typical first-two-years range $85,000 to $125,000. Not the External audit associate seat.",Continuous audit data analyst,"Typical first-two-years range $85,000 to $125,000. Not the External audit associate seat.",68000,85000,125000
52.0304,Accounting and Finance,Business,Financial analyst,FP&A systems and modeling analyst,"Typical first-two-years range $85,000 to $130,000. Not the Financial analyst seat.",Fintech treasury analyst,"Typical first-two-years range $85,000 to $130,000. Not the Financial analyst seat.",Deal and diligence analyst,"Typical first-two-years range $85,000 to $130,000. Not the Financial analyst seat.",72000,85000,130000
52.0305,Accounting and Business/Management,Business,Staff accountant,Business finance operations analyst,"Typical first-two-years range $78,000 to $115,000. Not the Staff accountant seat.",Order-to-cash automation lead,"Typical first-two-years range $78,000 to $115,000. Not the Staff accountant seat.",Finance data analyst,"Typical first-two-years range $78,000 to $115,000. Not the Staff accountant seat.",65000,78000,115000
52.0401,"Administrative Assistant and Secretarial Science, General",Business,Administrative assistant,Executive operations associate,"Typical first-two-years range $58,000 to $90,000. Not the Administrative assistant seat.",Workflow automation coordinator,"Typical first-two-years range $58,000 to $90,000. Not the Administrative assistant seat.",CRM operations associate,"Typical first-two-years range $58,000 to $90,000. Not the Administrative assistant seat.",48000,58000,90000
52.0402,Executive Assistant/Executive Secretary,Business,Executive assistant,Chief of staff associate,"Typical first-two-years range $85,000 to $135,000. Not the Executive assistant seat.",Business operations program lead,"Typical first-two-years range $85,000 to $135,000. Not the Executive assistant seat.",Founder operations partner,"Typical first-two-years range $85,000 to $135,000. Not the Executive assistant seat.",68000,85000,135000
52.0406,Receptionist,Business,Front desk receptionist,Workplace experience coordinator,"Typical first-two-years range $48,000 to $72,000. Not the Front desk receptionist seat.",Patient or client access coordinator,"Typical first-two-years range $48,000 to $72,000. Not the Front desk receptionist seat.",Customer operations associate,"Typical first-two-years range $48,000 to $72,000. Not the Front desk receptionist seat.",38000,48000,72000
52.0407,Business/Office Automation/Technology/Data Entry,Business,Data entry clerk,No-code automation builder,"Typical first-two-years range $55,000 to $88,000. Not the Data entry clerk seat.",Data quality operations analyst,"Typical first-two-years range $55,000 to $88,000. Not the Data entry clerk seat.",AI training data operations associate,"Typical first-two-years range $55,000 to $88,000. Not the Data entry clerk seat.",40000,55000,88000
52.0408,General Office Occupations and Clerical Services,Business,Office clerk,Operations coordinator,"Typical first-two-years range $52,000 to $80,000. Not the Office clerk seat.",Records automation analyst,"Typical first-two-years range $52,000 to $80,000. Not the Office clerk seat.",Billing and claims operations associate,"Typical first-two-years range $52,000 to $80,000. Not the Office clerk seat.",40000,52000,80000
52.0409,"Parts, Warehousing, and Inventory Management Operations",Business,Inventory clerk,Warehouse automation operations lead,"Typical first-two-years range $58,000 to $90,000. Not the Inventory clerk seat.",Inventory and demand analyst,"Typical first-two-years range $58,000 to $90,000. Not the Inventory clerk seat.",Reverse logistics coordinator,"Typical first-two-years range $58,000 to $90,000. Not the Inventory clerk seat.",44000,58000,90000
52.0410,"Traffic, Customs, and Transportation Clerk/Technician",Business,Customs clerk,Trade and tariff compliance analyst,"Typical first-two-years range $65,000 to $100,000. Not the Customs clerk seat.",Freight rate and data analyst,"Typical first-two-years range $65,000 to $100,000. Not the Customs clerk seat.",Cross-border ecommerce operations lead,"Typical first-two-years range $65,000 to $100,000. Not the Customs clerk seat.",48000,65000,100000
52.0411,Customer Service Support/Call Center/Teleservice Operation,Business,Call center agent,AI support agent trainer and reviewer,"Typical first-two-years range $55,000 to $88,000. Not the Call center agent seat.",Escalations and trust operations specialist,"Typical first-two-years range $55,000 to $88,000. Not the Call center agent seat.",Knowledge base data analyst,"Typical first-two-years range $55,000 to $88,000. Not the Call center agent seat.",40000,55000,88000
52.0499,"Business Operations Support and Secretarial Services, Other",Business,Operations clerk,Business operations associate,"Typical first-two-years range $55,000 to $88,000. Not the Operations clerk seat.",Process automation analyst,"Typical first-two-years range $55,000 to $88,000. Not the Operations clerk seat.",Vendor operations coordinator,"Typical first-two-years range $55,000 to $88,000. Not the Operations clerk seat.",44000,55000,88000
52.0501,"Business/Corporate Communications, General",Business,Corporate communications assistant,Change communications lead,"Typical first-two-years range $75,000 to $115,000. Not the Corporate communications assistant seat.",Executive content lead,"Typical first-two-years range $75,000 to $115,000. Not the Corporate communications assistant seat.",Issues monitoring analyst,"Typical first-two-years range $75,000 to $115,000. Not the Corporate communications assistant seat.",55000,75000,115000
52.0502,Grantsmanship,Business,Grant writer,Grants data and compliance analyst,"Typical first-two-years range $72,000 to $110,000. Not the Grant writer seat.",Public incentives consultant,"Typical first-two-years range $72,000 to $110,000. Not the Grant writer seat.",Research development strategist,"Typical first-two-years range $72,000 to $110,000. Not the Grant writer seat.",60000,72000,110000
